id,Rent,livingspace,NoOfRooms,lat,lon,distanceShop,dum_balcony,dum_builtinkitchen,dum_floorplan,dum_garden,dum_privateoffer
1000495,446.39999,62,3.5,51.597309,7.4276199,0.8163802,1,0,1,0,0
1000496,315,53.349998,2.5,51.539421,7.2111502,0.17860779,0,0,1,0,0
1000497,681,82,3.5,50.968842,6.6777301,4.7043171,0,0,0,0,0
1000501,829,68.029999,2.5,50.755932,7.0753498,1.0455661,1,1,0,0,0
1000506,318.5,21.209999,1,51.330688,12.39843,7.3456683,0,1,1,0,0
1000508,383,52.360001,2,51.288132,12.37617,4.239439,1,0,1,0,0
1000510,440,80,3.5,51.506481,7.02071,0.11215234,1,0,1,0,0
1000511,411.35001,78,3.5,51.6022,6.7027998,2.5534444,1,0,1,0,0
1000512,325,61.169998,3.5,51.599442,7.4286299,4.6591396,0,0,0,0,0
1000513,766,75.400002,2.5,51.461971,7.0062099,8.8681059,1,0,1,0,0
1000514,723,71.129997,2.5,51.461399,7.00524,0.76664352,1,0,1,0,0
1000515,1550,106.43,3,52.517109,13.45895,6.4388957,1,1,1,0,0
1000516,339,54.119999,2,53.52758,8.5958099,2.6515968,0,0,0,0,0
1000517,752,54,2,53.706261,10.10928,2.7067909,1,1,0,0,0
1000518,398,45,1,51.33606,12.40787,6.4486609,0,1,0,0,0
1000519,370,63.700001,3,50.821419,12.54215,9.012495,1,0,1,0,0
1000520,400,66.68,2,51.294731,12.63575,9.503912,1,0,0,0,0
1000525,1151.5,91.93,3,51.178551,6.8779402,2.8814776,1,0,1,1,0
1000526,1222.8101,144.53999,3,51.34132,12.37827,2.2146757,1,0,0,0,0
1000529,278.22,46.369999,2,51.319839,12.33388,0.069413207,1,0,1,0,0
1000531,320,53,2,51.44117,7.36585,6.2263732,1,0,0,0,0
1000532,256.95001,57.099998,3,52.156761,11.63122,0.47319382,1,0,1,0,0
1000533,445,57.200001,2,51.043282,13.77882,3.6892092,0,0,1,0,0
1000535,330,72.919998,3,50.864151,12.95643,3.3436685,0,0,0,0,0
1000536,520,80,3,50.628632,6.77284,2.0959189,1,0,0,0,0
1000537,252.49001,47.98,1,51.460159,6.69418,2.7756128,1,0,0,0,0
1000538,375,75,2,50.852638,12.73594,3.5966504,1,0,1,1,0
1000540,468.75,62.5,3,54.17762,13.33393,2.9097993,1,0,1,0,0
1000541,1250,122,3,50.732849,7.1008201,9.57862,1,0,1,0,0
1000542,550,48,2,50.97525,7.01193,8.1622477,0,0,0,0,0
1000543,508,63.5,2,51.02523,13.8279,1.8621701,1,0,1,0,0
1000546,1510,100.72,3,49.517601,8.4728498,3.224251,1,1,1,0,0
1000548,450,75,3,52.252811,10.48458,2.8285663,1,0,0,0,0
1000549,381.48001,63.580002,2,52.339668,14.08795,3.1182313,0,0,0,0,0
1000550,250,49.630001,2,51.126209,13.10141,4.0093465,1,0,0,1,0
1000552,464,77,3,53.594688,7.1900802,1.0056603,0,0,0,0,0
1000553,367,53.880001,2,53.225201,8.5899096,6.7835555,1,0,0,0,0
1000554,440.20001,71,3,51.39946,6.7122102,2.6568232,1,0,0,0,0
1000555,783,93.029999,3,52.543171,13.20312,6.9332204,0,1,1,0,0
1000556,550,53,2,49.445179,11.06262,3.7894614,0,0,0,0,0
1000557,480,87.220001,3,51.943989,7.16677,3.8219771,0,0,0,0,0
1000558,656,63.610001,2.5,51.476021,7.2213898,4.478467,1,0,1,0,0
1000559,769,66.809998,2.5,51.989342,7.6185398,2.2939911,1,0,1,0,0
1000562,270,45.110001,2,51.37405,12.33431,3.7166476,0,0,1,0,0
1000563,233,47.07,1.5,52.771542,14.00741,0.28658178,0,0,1,0,0
1000564,289,22.219999,1,51.693329,9.9935799,3.8019989,1,1,0,1,0
1000565,2030,104,3,48.133331,11.63012,0.090397872,1,1,0,1,0
1000566,760,46,2,53.597721,9.9326496,0.82487136,1,1,0,1,0
1000567,1350,100,3,53.598949,9.9654198,0.12153587,1,1,0,0,0
1000571,355,65,2,50.966942,13.8703,0.38850498,1,0,0,0,0
1000572,399,76,3,50.829929,12.83294,3.2559614,0,0,0,1,0
1000573,340,41.639999,2,52.138008,11.60675,1.2346517,0,1,1,0,0
1000574,269,32,2,52.13047,11.65142,2.4046481,0,1,0,0,0
1000576,449,65.489998,4,52.096828,11.62279,3.7456987,1,1,1,0,0
1000578,420,57.139999,2,51.04781,13.78274,1.0796182,0,0,1,1,0
1000579,830,105.63,2,51.092781,13.71593,4.3782196,1,1,1,1,0
1000581,863.90002,101.64,3,50.821579,12.9156,5.2473998,1,0,1,1,0
1000582,1300,100,4,52.42482,13.57622,3.9444311,1,1,1,0,1
1000584,425,90,3,50.835079,12.8976,4.7837858,1,1,1,0,0
1000585,1047.58,123.25,4,50.821579,12.9156,8.1607304,1,0,1,1,0
